Segment,Mean (A),Median (A),Max (A),Std (A),Duration (s)
Takeoff,10.365533616595851,10.31,15.5,1.6644709283829928,2
Hover,10.389337582802149,10.68,18.83,2.147745873270068,4
Approach,8.947521247875214,9.2,14.02,1.9612065126277454,5
Fly-by,10.397904209579043,9.2,26.61,4.37368820187531,5
Landing,9.039187256176854,9.2,15.5,2.751802896805905,1
