time_s,battery,motors,esc,shell
0.0,20.0,20.0,20.0,20.0
0.5,20.00666666666666,20.044444444444423,20.024999999999977,20.0
1.0,20.013339715704205,20.08871174288521,20.04986253135428,20.00011882716052
1.5,20.020019147713242,20.13280292528725,20.07458908072539,20.000355261136292
2.0,20.02670496303915,20.17671901457919,20.099181118008403,20.000708092917193
2.5,20.033397161774644,20.220461026705948,20.123640096513043,20.00117612472269
3.0,20.04009574376238,20.264029970680724,20.147967453143963,20.00175816989713
3.5,20.04680070859763,20.307426848636453,20.17216460857918,20.002453052806402
4.0,20.053512055630677,20.35065265587707,20.196232967446633,20.003259608735107
4.5,20.06022978396942,20.393708380928217,20.2201739184988,20.004176683785147
5.0,20.066953892481877,20.436595005587606,20.24398883478557,20.005203134775
5.5,20.07368437979875,20.479313504975096,20.267679073825093,20.00633782914008
6.0,20.08042124431563,20.521864847582037,20.2912459777732,20.00757964483398
6.5,20.087164484195796,20.564249995320665,20.314690873590678,20.00892747023073
7.0,20.093914097372306,20.60646990357276,20.33801507320885,20.010380204027797
7.5,20.100670081550675,20.64852552123807,20.361219873693585,20.011936755150202
8.0,20.10743243421109,20.690417790782362,20.384306557407456,20.013596042655593
8.5,20.114201152610804,20.732147648285093,20.40727639217016,20.015356995639934
9.0,20.120976233786507,20.773716023486656,20.430130631417285,20.017218553144403
9.5,20.127757674556676,20.815123839835167,20.452870514357414,20.019179664062904
10.0,20.13454547152378,20.856372014533235,20.47549726612749,20.021239287050662
10.5,20.141339621076668,20.897461458583848,20.498012097946628,20.023396390433618
11.0,20.148140119392792,20.938393076836405,20.520416207268283,20.025649952118556
11.5,20.154946962440476,20.97916776803197,20.54271077793078,20.027998959504373
12.0,20.161760145981077,21.01978642484852,20.564896980306344,20.030442409393913
12.5,20.168579665571315,21.060249933945556,20.58697597144834,20.032979307906658
13.0,20.175405516565377,21.100559176008574,20.608948895237234,20.035608670392435
13.5,20.182237694117077,21.140715025792986,20.630816882524755,20.038329521345815
14.0,20.189076193182075,21.180718352167844,20.652581051276684,20.041140894321245
14.5,20.195921008519974,21.22057001815932,20.67424250671405,20.0440418318492
15.0,20.20277213469643,21.26027088099346,20.69580234145309,20.047031385352852
15.5,20.20962956608537,21.299821792139028,20.717261635643183,20.050108615065824
16.0,20.21649329687085,21.33922359734987,20.738621457103818,20.05327258995044
16.5,20.223363321049305,21.37847713670675,20.759882861460028,20.056522387617008
17.0,20.230239632431562,21.417583244659113,20.781046892276095,20.05985709424351
17.5,20.23712222464485,21.45654275006649,20.80211458118822,20.063275804496584
18.0,20.24401109113478,21.495356476239408,20.823086948035552,20.066777621452673
18.5,20.250906225167455,21.534025240980213,20.843965000989783,20.070361656520333
19.0,20.25780761983134,21.57254985662331,20.86474973668362,20.074027029363094
19.5,20.264715268039254,21.610931130075414,20.885442140337716,20.077772867823057
20.0,20.27162916253036,21.64916986285516,20.906043185886176,20.081598307845297
20.5,20.27854929587204,21.687266851132563,20.926553836100936,20.085502493402828
21.0,20.28547566046194,21.72522288576829,20.946975042714655,20.089484576422535
21.5,20.292408248529625,21.763038752352372,20.96730774654236,20.09354371671145
22.0,20.299347052138728,21.800715231242748,20.987552877601956,20.097679081883996
22.5,20.306292063188664,21.83825309760357,21.007711355233084,20.10188984728984
23.0,20.313243273416447,21.875653121443065,21.02778408821507,20.1061751959424
23.5,20.320200674398734,21.912916067651167,21.04777197488346,20.11053431844806
24.0,20.32716425755342,21.95004269603703,21.067675903245288,20.114966412935985
24.5,20.33413401414157,21.987033761365865,21.08749675109317,20.11947068498864
25.0,20.341109935269117,22.02389001339577,21.107235386118305,20.124046347573085
25.5,20.34809201188881,22.060612196914406,21.126892666021945,20.128692620972686
26.0,20.355080234801733,22.097201051774903,21.14646943862607,20.1334087327196
26.5,20.362074594659305,22.133657312931973,21.165966541982584,20.13819391752787
27.0,20.36907508196481,22.169981710477543,21.185384804481487,20.143047417227194
27.5,20.376081687075214,22.206174969676113,21.204725044957854,20.147968480697216
28.0,20.38309440020288,22.24223781099971,21.22398807279768,20.152956363802616
28.5,20.390113211417145,22.27817095016286,21.2431746880427,20.158010329328533
29.0,20.397138110646097,22.313975098157186,21.262285681493836,20.163129646916786
29.5,20.40416908767827,22.349650961285533,21.281321834813753,20.168313593002836
30.0,20.41120613216424,22.385199241196062,21.300283920628374,20.173561450752914
30.5,20.4182492336181,22.42062063491602,21.319172702626986,20.178872510002122
31.0,20.425298381419395,22.455915834885275,21.337988935661713,20.18424606719293
31.5,20.43235356481449,22.4910855289894,21.35673336584557,20.189681425314404
32.0,20.439414772918155,22.52613040059282,21.375406730649615,20.195177893841787
32.5,20.446481994715327,22.561051128571478,21.39400975899906,20.20073478867681
33.0,20.453555219062537,22.595848387345256,21.412543171368327,20.206351432088468
33.5,20.460634434689496,22.63052284691031,21.43100767987528,20.2120271526544
34.0,20.46771963020052,22.6650751728709,21.449403988373945,20.217761285202982
34.5,20.474810794076348,22.699506026471283,21.467732792546883,20.22355317075551
35.0,20.481907914675276,22.733816064627035,21.485994779996133,20.229402156469405
35.5,20.48901098023498,22.768005939956367,21.5041906303332,20.235307595581787
