time_s,battery,motors,esc,shell
0.0,20.0,20.0,20.0,20.0
0.5,20.00666666666666,20.044444444444423,20.024999999999977,20.0
1.0,20.013338860679653,20.088601576754684,20.049755316970618,20.00020833333332
1.5,20.020016594445508,20.1324742724741,20.074270492242533,20.00062148727966
2.0,20.026699879658565,20.17606537246718,20.09854998313307,20.0012360033424
2.5,20.033388727311888,20.219377683379832,20.122598164425312,20.002048476405378
3.0,20.040083147707833,20.26241397809332,20.146419329822265,20.00305555390321
3.5,20.04678315046857,20.305176996171724,20.170017693375883,20.00425393500467
4.0,20.053488744546655,20.347669444302994,20.193397390892187,20.005640369808873
4.5,20.060199938235087,20.389893996733747,20.216562481312053,20.007211658554183
5.0,20.066916739177543,20.431853295698204,20.239516948068456,20.0089646508398
5.5,20.073639154378327,20.473549951840823,20.26226470042087,20.010896244859453
6.0,20.080367190212144,20.51498654463296,20.284809574766427,20.01300338664737
6.5,20.087100852433935,20.55616562278385,20.30715533592911,20.01528306933585
7.0,20.09384014618837,20.59708970464561,20.329305678426522,20.017732332425055
7.5,20.100585076019343,20.6377612786128,20.351264227715433,20.020348261063873
8.0,20.107335645879232,20.67818280351611,20.373034541415564,20.023127985342228
8.5,20.11409185913817,20.71835670901055,20.394620110512733,20.0260686795948
9.0,20.120853718593025,20.758285395958467,20.416024360541485,20.029167561715497
9.5,20.127621226476435,20.797971236806802,20.437250652747196,20.032421892482716
10.0,20.134394384465566,20.837416575959367,20.4583022852284,20.035828974895367
10.5,20.141173193690918,20.876623730143763,20.47918249405967,20.039386153519388
11.0,20.147957654744744,20.915594988773137,20.499894454395132,20.043090813844287
11.5,20.15474776768974,20.954332614303098,20.520441281552962,20.04694038165013
12.0,20.161543532067185,20.992838842583353,20.540826032081554,20.050932322384483
12.5,20.168344946905393,21.03111588320462,20.5610517048072,20.055064140548836
13.0,20.175152010727686,21.069165919840714,20.581121241863798,20.059333379094994
13.5,20.18196472156052,21.106991110585625,20.60103752970491,20.06373761883094
14.0,20.188783076941377,21.14459358828634,20.62080340009851,20.06827447783587
14.5,20.195607073926567,21.181975460870547,20.64042163110446,20.07294161088464
15.0,20.20243670909889,21.21913881167012,20.659894948035458,20.07773670888099
15.5,20.209271978575316,21.256085699740026,20.67922602440109,20.082657498300023
16.0,20.216112878014428,21.292818160172715,20.69841748283602,20.087701740639204
16.5,20.22295940262393,21.329338204408202,20.717471896011943,20.092867231877904
17.0,20.229811547167742,21.36564782053989,20.736391787533933,20.09815180194579
17.5,20.236669305973408,21.401748973616122,20.755179632821353,20.10355331419919
18.0,20.243532672939068,21.437643605937467,20.773837859973582,20.109069664905803
18.5,20.25040164154052,21.473333637350095,20.792368850620733,20.114698782737662
19.0,20.25727620483815,21.50882096553488,20.810774940759984,20.120438628271756
19.5,20.26415635548375,21.5441074662927,20.829058421576974,20.12628719349874
20.0,20.271042085727117,21.579194993825695,20.847221540253543,20.132242501339192
20.5,20.277933387422934,21.614085381014547,20.86526650076121,20.138302605167382
21.0,20.284830252037068,21.648780439692132,20.883195464641005,20.144465588342882
21.5,20.291732670653175,21.683281960913405,20.901010551769957,20.150729563748996
22.0,20.29864063397912,21.71759171522126,20.918713841114027,20.157092673338923
22.5,20.305554132353166,21.751711452909205,20.936307371468445,20.163553087688456
23.0,20.312473155750183,21.78564290427994,20.953793142184793,20.170109005556355
23.5,20.319397693787778,21.819387779900865,20.97117311388581,20.176758653450975
24.0,20.326327735732377,21.852947770855565,20.988449209167698,20.183500285204104
24.5,20.3332632705052,21.886324548992434,21.005623313290187,20.19033218155124
25.0,20.340204286687992,21.919519767169277,21.022697274854806,20.197252649718564
25.5,20.347150772529005,21.952535059495062,21.039672906471253,20.204260023016218
26.0,20.354102715948613,21.985372041568098,21.056551985412284,20.21135266043808
26.5,20.361060104545004,22.01803231071102,21.07333625425713,20.218528946267668
27.0,20.368022925599632,22.050517446202605,21.090027421523814,20.22578728969046
27.5,20.374991166082964,22.082829009506383,21.10662716229058,20.233126124411797
28.0,20.381964812659533,22.114968544496037,21.12313711880614,20.24054390828121
28.5,20.388943851693682,22.146937577678045,21.139558901089856,20.248039122922478
29.0,20.39592826925451,22.178737618410878,21.15589408752095,20.2556102733692
29.5,20.402918051121333,22.21037015912151,21.172144225417924,20.263255887706407
30.0,20.409913182788557,22.24183667551887,21.188310831607396,20.270974516717672
30.5,20.416913649470985,22.273138626804382,21.20439539298343,20.2787647335374
31.0,20.42391943610869,22.304277455879685,21.220399367056928,20.286625133309144
31.5,20.430930527371913,22.335254589551596,21.23632418249548,20.294554332848634
32.0,20.437946907666003,22.366071438734195,21.252171239653762,20.30255097031238
32.5,20.44496856113625,22.39672939864812,21.26794191109468,20.310613704871457
33.0,20.451995471672547,22.427229849017294,21.283637542101417,20.318741216390208
33.5,20.459027622913993,22.457574154263114,21.299259451180433,20.326932205110097
34.0,20.466064998253614,22.487763663695546,21.3148089305559,20.3351853913382
34.5,20.47310758084285,22.517799711702253,21.330287246655246,20.343499515141048
35.0,20.48015535359616,22.547683617934638,21.345695640586314,20.35187333604273
35.5,20.48720829919523,22.577416687491677,21.361035328606135,20.360305632727943
