model,pos_n,pos_median,pos_mean,pos_det_rate@0.25,neg_n,neg_median,neg_mean,neg_fpr@0.25
yoloworld,256,0.019,0.04085703125,0.00390625,100,0.0046,0.0059640000000000006,0.0
drone_yolo,256,0.49005,0.47818359375,0.7421875,100,0.52405,0.516923,0.83
