model,pos_n,pos_median,pos_mean,pos_det_rate@0.25,neg_n,neg_median,neg_mean,neg_fpr@0.25
yoloworld,0,0.0,0.0,0.0,0,0.0,0.0,0.0
drone_yolo,0,0.0,0.0,0.0,0,0.0,0.0,0.0
